baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
CRO_T127834	24.99546901	-0.023911279	0.47859427	-0.049961483	0.960153082	0.999986415
CRO_T113449	30.74767152	-0.021554704	0.432343138	-0.049855547	0.960237501	0.999986415
CRO_T128579	19.76740635	-0.026365326	0.528928524	-0.049846671	0.960244575	0.999986415
CRO_T138435	19.76740635	-0.026365326	0.528928524	-0.049846671	0.960244575	0.999986415
CRO_T100854	6.193312514	-0.045725353	0.917970885	-0.049811333	0.960272736	1
CRO_T114813	6.193312514	-0.045725353	0.917970885	-0.049811333	0.960272736	1
CRO_T117048	6.193312514	-0.045725353	0.917970885	-0.049811333	0.960272736	1
CRO_T102319	8.810604171	-0.03879151	0.779216884	-0.049782686	0.960295564	0.999986415
CRO_T128896	33.38150382	-0.020744584	0.417170817	-0.049726834	0.960340072	0.999986415
CRO_T134431	30.75041961	-0.021400623	0.431862052	-0.049554303	0.960477563	0.999986415
CRO_T103433	10.3352526	-0.036585395	0.740932273	-0.049377516	0.960618446	0.999986415
CRO_T120970	119.3949953	-0.012513708	0.255054562	-0.049062868	0.960869195	0.999986415
CRO_T128913	34.94111983	-0.01994996	0.407700054	-0.048932935	0.960972742	0.999986415
CRO_T129879	41.76153023	-0.018495686	0.378074999	-0.048920681	0.960982507	0.999986415
CRO_T107786	22.36855906	-0.024863646	0.508391634	-0.048906482	0.960993823	0.999986415
CRO_T103088	405.5057684	-0.010128304	0.207248447	-0.048870349	0.961022619	0.999986415
CRO_T122902	8.786168829	-0.037868647	0.780359977	-0.048527152	0.961296126	0.999986415
CRO_T139448	15.58311623	-0.028715841	0.591997292	-0.048506709	0.961312418	0.999986415
CRO_T109556	23.95535849	-0.023582402	0.48649993	-0.048473598	0.961338805	0.999986415
CRO_T110128	19.76139794	-0.025631734	0.529313723	-0.048424466	0.961377961	0.999986415
CRO_T111163	10.37622859	-0.034593056	0.721078371	-0.047974058	0.961736917	0.999986415
CRO_T129308	12.98751183	-0.031017392	0.647222215	-0.047923868	0.961776917	0.999986415
CRO_T110922	33.90839176	-0.020026207	0.419707189	-0.047714711	0.96194361	0.999986415
CRO_T110150	245.2844916	-0.012011427	0.252064413	-0.047652213	0.961993419	0.999986415
CRO_T105107	6.18593006	-0.043822219	0.92152682	-0.047553927	0.962071752	1
CRO_T127011	6.18593006	-0.043822219	0.92152682	-0.047553927	0.962071752	1
CRO_T131474	12.99025992	-0.03065983	0.645124133	-0.047525474	0.962094428	0.999986415
CRO_T102277	44.86508339	-0.017486889	0.368257063	-0.047485549	0.962126247	0.999986415
CRO_T128749	83.16538827	-0.013748028	0.289640075	-0.047465903	0.962141905	0.999986415
