target_id 	 Ck_1 	 CK_2 	 ET_1 	 ET_2 	 ET_3 
CRO_T100001	1	2	3	2	2
CRO_T100002	0	0	0	0	0
CRO_T100003	0	0	0	0	0
CRO_T100004	0	0	0	0	0
CRO_T100005	1	2	1	0	4
CRO_T100006	0	0	0	0	0
CRO_T100007	0	0	0	0	0
CRO_T100008	0	0	0	0	0
CRO_T100009	5	5	6	4	8
CRO_T100011	11	9	10	7	19
CRO_T100012	0	0	0	0	0
CRO_T100013	4	3	2	2	3
CRO_T100014	0	0	0	0	0
CRO_T100015	19	17	19	17	20
CRO_T100016	0	0	0	0	0
CRO_T100017	0	0	0	0	0
CRO_T100018	25	25	31	25	28
CRO_T100019	0	0	0	0	0
CRO_T100020	0	0	0	0	0
CRO_T100021	0	0	0	0	0
CRO_T100022	0	0	0	0	0
CRO_T100023	31	29	31	35	31
CRO_T100024	0	0	0	0	0
CRO_T100025	42	44	39	46	42
CRO_T100028	0	0	0	0	0
CRO_T100029	0	0	0	0	0
CRO_T100032	0	0	0	0	0
CRO_T100033	0	0	0	0	0
CRO_T100034	0	0	0	0	0
CRO_T100035	0	0	0	0	0
CRO_T100036	0	0	0	0	0
CRO_T100037	0	0	0	0	0
CRO_T100038	0	0	0	0	0
CRO_T100040	0	0	0	0	0
CRO_T100041	0	0	0	0	0
CRO_T100042	0	0	0	0	0
CRO_T100043	0	0	0	0	0
CRO_T100044	0	0	0	0	0
CRO_T100045	0	0	0	0	0
CRO_T100048	41	37	48	45	41
CRO_T100049	0	0	0	0	0
CRO_T100050	0	0	0	0	0
CRO_T100051	0	0	0	0	0
CRO_T100052	0	0	0	0	0
CRO_T100053	0	0	0	0	0
CRO_T100055	0	0	0	0	0
CRO_T100058	24	20	23	24	24
CRO_T100059	0	0	0	0	0
CRO_T100060	0	0	0	0	0
CRO_T100061	0	0	0	0	0
CRO_T100062	0	0	0	0	0
CRO_T100063	0	0	0	0	0
CRO_T100064	0	0	0	0	0
CRO_T100065	14	12	11	8	12
CRO_T100066	55	56	55	57	55
CRO_T100067	7	5	12	9	6
CRO_T100069	0	0	0	0	0
CRO_T100070	0	0	0	0	0
CRO_T100072	10	11	10	10	13
CRO_T100074	27	24	32	30	29
CRO_T100075	0	0	0	0	0
CRO_T100080	0	0	0	0	0
CRO_T100081	0	0	0	0	0
CRO_T100082	47	50	42	38	46
CRO_T100083	0	0	0	0	0
CRO_T100084	0	0	0	0	0
CRO_T100086	0	0	0	0	0
CRO_T100087	0	0	0	0	0
CRO_T100088	0	0	0	0	0
CRO_T100089	0	0	0	0	0
CRO_T100090	2	2	2	3	2
CRO_T100091	0	0	0	0	0
CRO_T100092	16	15	14	19	32
CRO_T100093	0	0	0	0	0
CRO_T100095	3	3	4	3	3
CRO_T100096	0	0	0	0	0
CRO_T100097	397	437	374	373	396
CRO_T100098	0	0	0	0	0
CRO_T100099	0	0	0	0	0
CRO_T100100	3	3	2	2	2
CRO_T100101	31	33	37	35	36
CRO_T100102	0	0	0	0	0
CRO_T100103	32	33	41	38	39
CRO_T100104	247	341	197	119	418
CRO_T100105	0	0	0	0	0
CRO_T100106	117	188	104	49	191
CRO_T100107	0	0	0	0	0
CRO_T100108	0	0	0	0	0
CRO_T100110	0	0	0	0	0
CRO_T100111	0	0	0	0	0
CRO_T100112	0	0	0	0	0
CRO_T100113	0	0	0	0	0
CRO_T100114	21	20	26	21	25
CRO_T100115	3	2	2	1	3
CRO_T100116	1	1	1	1	1
CRO_T100117	0	0	0	0	0
CRO_T100120	3	2	6	4	5
CRO_T100121	0	0	0	0	0
CRO_T100124	0	0	0	0	0
CRO_T100126	0	0	0	0	0
CRO_T100128	0	0	0	0	0
CRO_T100129	0	0	0	0	0
CRO_T100130	0	0	0	0	0
CRO_T100132	0	0	0	0	0
CRO_T100133	0	0	0	0	0
CRO_T100134	0	0	0	0	0
CRO_T100136	0	0	0	0	0
CRO_T100137	0	0	0	0	0
CRO_T100138	0	0	0	0	0
CRO_T100140	83	65	120	90	82
CRO_T100141	0	0	0	0	0
CRO_T100142	57	44	56	60	49
CRO_T100144	20	23	21	19	23
CRO_T100145	29	25	23	22	29
CRO_T100146	0	0	0	0	0
CRO_T100147	8	9	4	6	9
CRO_T100149	0	0	0	0	0
CRO_T100150	82	94	67	58	107
CRO_T100151	11	16	16	10	15
