baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
CRO_T133639	34.14249145	-0.205257963	0.410623973	-0.499868434	0.61716772	0.9998771
CRO_T120072	1251.988138	-0.059414581	0.118876228	-0.499802035	0.617214477	0.9998771
CRO_T111279	48.50452587	-0.175024106	0.350808029	-0.498917046	0.617837825	0.9998771
CRO_T138898	15.57869011	-0.292011282	0.585738104	-0.498535574	0.618106602	0.9998771
CRO_T113501	66.23599691	-0.157010647	0.31539143	-0.497827882	0.618605362	0.9998771
CRO_T137885	54.44144093	-0.162240459	0.325946496	-0.497751811	0.618658985	0.9998771
CRO_T140719	12.17788956	-0.331383219	0.66626474	-0.49737469	0.61892485	0.9998771
CRO_T115411	5.989241121	-0.468571191	0.943812012	-0.496466653	0.619565209	1
CRO_T109958	91.10702083	-0.132891628	0.267693158	-0.496432667	0.619589182	0.9998771
CRO_T132469	5.993555841	-0.471402019	0.950060253	-0.496181182	0.619766587	1
CRO_T109915	44.12010997	-0.177955074	0.358723097	-0.49607922	0.619838519	0.9998771
CRO_T124953	24.35690089	-0.235459227	0.474744238	-0.495970688	0.619915091	0.9998771
CRO_T134772	26.16869989	-0.247122455	0.498703804	-0.495529518	0.620226391	0.9998771
CRO_T101593	16.5799159	-0.280437799	0.567041622	-0.494562989	0.620908633	0.9998771
CRO_T111241	26.35312834	-0.224592589	0.454241307	-0.494434534	0.62099933	0.9998771
CRO_T123375	13.18508687	-0.313096739	0.63327641	-0.494407708	0.621018271	0.9998771
CRO_T116935	32.72910645	-0.202997821	0.410619603	-0.494369531	0.621045228	0.9998771
CRO_T110848	25.36111244	-0.229896242	0.465077662	-0.494317962	0.621081642	0.9998771
CRO_T112247	13.18604157	-0.312970875	0.633331831	-0.494165712	0.621189153	0.9998771
CRO_T128737	13.19041711	-0.31428109	0.636016258	-0.494140026	0.621207292	0.9998771
CRO_T132334	20.96974659	-0.250565306	0.507183089	-0.494033243	0.621282703	0.9998771
CRO_T110397	12.18678601	-0.330085999	0.668473668	-0.493790578	0.621454088	0.9998771
CRO_T110370	16.57699096	-0.280745189	0.56865632	-0.493699234	0.621518606	0.9998771
CRO_T124754	16.57699096	-0.280745189	0.56865632	-0.493699234	0.621518606	0.9998771
CRO_T101140	107.9301171	-0.120139628	0.24336784	-0.493654496	0.621550207	0.9998771
CRO_T125567	20.9790173	-0.251001516	0.50864676	-0.493469213	0.621681088	0.9998771
CRO_T127062	16.58188613	-0.280231558	0.567999699	-0.49336568	0.621754228	0.9998771
CRO_T134055	28.11583236	-0.227983353	0.462106119	-0.493357139	0.621760262	0.9998771
