	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CRO_T136247	44.02335586	2.424589406	0.535325267	4.529189177	5.92E-06	0.067156513
CRO_T129257	73.03959167	1.276937666	0.339877112	3.757056955	0.000171923	0.570788517
CRO_T122747	10.29660631	4.325024385	1.153245891	3.75030548	0.000176619	0.570788517
CRO_T127108	9.481956957	4.625152233	1.244197322	3.717378386	0.000201301	0.570788517
CRO_T116217	15.77431303	2.245700317	0.640113535	3.508284382	0.000451007	0.967856369
CRO_T116226	143.4412062	0.706576193	0.205601579	3.436628245	0.000589003	0.967856369
CRO_T138732	114.8048795	1.055155923	0.309735203	3.406638679	0.000657681	0.967856369
CRO_T134569	126.2299918	1.718085638	0.505903917	3.396071035	0.000683606	0.967856369
CRO_T105894	34.25275994	1.861124988	0.553235156	3.36407578	0.000768005	0.967856369
CRO_T108945	229.7503415	-1.615751518	0.485120758	-3.330617153	0.000866537	0.982826169
CRO_T100959	10.07848559	2.702037797	0.828329829	3.262031263	0.001106169	0.999941141
CRO_T120324	54.93701513	2.336149774	0.720324745	3.243189671	0.001181995	0.999941141
CRO_T109039	25.86212903	1.24585507	0.389121465	3.201712531	0.001366133	0.999941141
CRO_T115869	101.5434871	1.380693261	0.437427026	3.156396793	0.001597314	0.999941141
CRO_T137804	25.00573532	-1.933466684	0.622163195	-3.10765198	0.0018858	0.999941141
CRO_T117261	11.48848339	2.267767046	0.740578279	3.062157114	0.002197481	0.999941141
CRO_T121190	298.2830181	1.087754993	0.361340024	3.010336304	0.002609586	0.999941141
CRO_T131573	32.05584903	1.502578145	0.50119182	2.998010115	0.002717487	0.999941141
CRO_T127441	11.56398791	2.988177111	0.999049556	2.991019909	0.002780474	0.999941141
CRO_T116257	98.35093449	-0.957098222	0.32098158	-2.981785503	0.002865727	0.999941141
CRO_T132079	5.431298547	6.330903417	2.148158336	2.947130717	0.003207376	0.999941141
CRO_T105713	759.7370661	0.581867534	0.203659955	2.857054219	0.004275928	0.999941141
CRO_T111252	95.02507055	0.960928466	0.336549251	2.855238761	0.004300449	0.999941141
CRO_T133410	327.9753871	0.685434755	0.240765891	2.846893106	0.004414818	0.999941141
CRO_T140757	5.924933575	3.292210866	1.16914145	2.815921773	0.004863751	0.999941141
CRO_T103693	16.02471835	1.612813864	0.5840473	2.761443915	0.00575464	0.999941141
CRO_T131699	26.49051471	-1.105483425	0.401130913	-2.755916806	0.005852788	0.999941141
CRO_T127014	119.9936985	-1.25390046	0.459682118	-2.727755572	0.006376684	0.999941141
CRO_T116046	13.36936026	1.724667491	0.640021594	2.694702033	0.00704516	0.999941141
CRO_T110704	206.6249195	0.545463802	0.202550083	2.692982371	0.007081601	0.999941141
CRO_T116282	101.8359898	1.670372464	0.623297781	2.67989477	0.007364531	0.999941141
CRO_T110948	13.79890645	2.114910404	0.801399384	2.639021749	0.008314565	0.999941141
CRO_T127751	105.7356105	0.562481317	0.215158575	2.614263999	0.008941991	0.999941141
CRO_T120928	7.491069717	2.850642624	1.091794439	2.610970089	0.009028579	0.999941141
CRO_T140881	26.59002577	1.333338146	0.51344709	2.596836503	0.00940867	0.999941141
CRO_T115156	67.88831633	-0.609844029	0.234846062	-2.596782008	0.009410162	0.999941141
CRO_T138005	19.68868043	1.46348256	0.564228017	2.593778607	0.009492759	0.999941141
CRO_T138885	107.4657781	0.931231597	0.369933076	2.517297471	0.011825894	0.999941141
CRO_T125832	3.673142643	3.075982074	1.222627973	2.515877391	0.011873648	0.999941141
