	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CRO_T125683	230.9895794	4.641806243	0.293364601	15.82265286	2.17E-56	2.04E-52
CRO_T119997	179.3075522	4.010646841	0.269479633	14.88293122	4.25E-50	2.00E-46
CRO_T115979	309.0522124	2.860896903	0.199082555	14.37040476	7.94E-47	2.48E-43
CRO_T131044	728.5253563	2.144197145	0.176313137	12.16130106	5.00E-34	1.17E-30
CRO_T134138	103.3835749	4.329634207	0.3654889	11.84614418	2.25E-32	4.23E-29
CRO_T124916	232.5275645	2.251445438	0.213617188	10.5396268	5.67E-26	8.88E-23
CRO_T131456	116.5013597	6.38473993	0.614007435	10.39847331	2.52E-25	3.38E-22
CRO_T136885	118.3417122	2.578490839	0.249401197	10.33872681	4.71E-25	5.52E-22
CRO_T116063	264.24838	3.113007632	0.307122501	10.13604545	3.82E-24	3.99E-21
CRO_T123412	83.93325697	3.169813368	0.315417125	10.04959186	9.22E-24	8.66E-21
CRO_T107113	119.1318554	2.494682053	0.251516651	9.918556262	3.46E-23	2.95E-20
CRO_T131521	424.6872378	2.365459948	0.240028616	9.854908068	6.53E-23	5.11E-20
CRO_T121394	191.237634	2.121967508	0.217372742	9.761884093	1.64E-22	1.19E-19
CRO_T113210	349.0967264	2.809431807	0.297020924	9.458699982	3.12E-21	2.09E-18
CRO_T117092	104.5693582	2.467586234	0.272328774	9.06105585	1.29E-19	8.09E-17
CRO_T128623	58.31229019	3.616157477	0.408158157	8.859696695	8.02E-19	4.71E-16
CRO_T131511	50.89486247	5.180368716	0.633734125	8.174356584	2.97E-16	1.64E-13
CRO_T105502	79.08205762	2.697155857	0.33187821	8.126944685	4.40E-16	2.30E-13
CRO_T140100	59.62869233	5.134177589	0.640575862	8.014940767	1.10E-15	5.45E-13
CRO_T117277	199.11469	1.565162261	0.199524795	7.844449917	4.35E-15	2.04E-12
CRO_T116677	189.6161693	1.53696107	0.198971045	7.724546416	1.12E-14	5.02E-12
CRO_T131522	47.3671379	3.149210869	0.412218736	7.639659714	2.18E-14	9.29E-12
CRO_T137888	60.0156375	2.585825518	0.346356968	7.46578171	8.28E-14	3.38E-11
CRO_T124544	575.0368376	2.128009222	0.286358121	7.431286442	1.08E-13	4.21E-11
CRO_T116676	597.3475649	1.434095467	0.194448947	7.375177327	1.64E-13	6.16E-11
CRO_T114589	138.9529143	2.073398231	0.286069167	7.24789131	4.23E-13	1.53E-10
CRO_T127014	113.6741069	-1.689056868	0.236489431	-7.142208683	9.18E-13	3.19E-10
