target_id 	 SRR5133628 	 SRR5133629 	 SRR5133630 	        SRR5133631 	 SRR5133632 	 SRR5133633 	 SRR5133634 	 SRR5133635 	 SRR5133636 
CL1.Contig1	416	391	442	477	465	491	502	480	396
CL1.Contig2	46	40	58	48	40	58	50	56	38
CL10.Contig1	29	43	22	34	52	29	29	31	30
CL10.Contig10	0	0	0	0	0	0	0	0	0
CL10.Contig11	0	0	0	0	0	0	0	0	0
CL10.Contig12	1	3	1	13	0	0	0	13	12
CL10.Contig13	0	0	0	0	0	0	0	0	0
CL10.Contig14	32	40	21	3	15	21	5	11	36
CL10.Contig15	0	0	0	0	0	0	0	1	0
CL10.Contig16	0	0	0	0	0	0	0	0	0
CL10.Contig17	0	0	0	0	0	0	0	0	0
CL10.Contig18	2	2	0	0	0	0	0	8	4
CL10.Contig19	0	5	16	17	2	0	21	26	0
CL10.Contig2	0	0	0	0	0	0	0	0	0
CL10.Contig20	0	0	0	0	0	0	0	0	0
CL10.Contig21	0	0	0	0	0	0	0	0	0
CL10.Contig22	0	2	8	6	7	0	11	16	18
CL10.Contig23	0	0	0	0	0	0	0	0	0
CL10.Contig24	1	0	0	0	0	0	0	3	1
CL10.Contig25	0	0	2	4	6	12	9	0	0
CL10.Contig26	0	0	0	0	0	0	0	0	0
CL10.Contig27	0	0	3	1	4	14	3	0	0
CL10.Contig28	18	17	22	23	16	25	22	13	13
CL10.Contig29	0	1	0	1	44	38	45	0	0
CL10.Contig3	0	0	0	0	0	0	0	0	0
CL10.Contig30	327	395	526	599	464	508	489	642	385
CL10.Contig31	117	132	118	162	144	120	135	137	126
CL10.Contig32	0	0	0	0	0	0	0	0	0
CL10.Contig33	0	0	0	0	0	0	0	0	0
CL10.Contig34	0	0	0	0	0	0	0	0	0
CL10.Contig35	0	0	0	0	0	0	0	0	0
CL10.Contig36	0	0	0	0	0	0	0	0	0
CL10.Contig37	0	0	0	0	0	0	0	0	0
CL10.Contig38	0	0	0	0	0	0	0	0	0
CL10.Contig39	0	0	0	0	0	0	0	0	0
CL10.Contig4	0	0	0	0	0	0	0	0	0
CL10.Contig40	104	105	101	77	98	92	89	75	110
CL10.Contig41	0	0	0	0	0	0	0	0	0
CL10.Contig42	2	21	3	75	45	17	56	53	50
CL10.Contig43	0	0	0	0	0	0	0	0	0
CL10.Contig44	123	144	78	111	56	65	69	88	98
CL10.Contig45	0	0	0	0	0	0	0	0	0
CL10.Contig46	0	0	0	0	0	0	0	0	0
CL10.Contig47	0	0	0	0	0	0	0	0	0
CL10.Contig48	0	0	0	0	0	0	0	0	0
CL10.Contig49	0	0	0	0	0	0	0	0	0
CL10.Contig5	0	0	0	0	0	0	0	0	0
CL10.Contig50	0	0	0	0	0	0	0	0	0
CL10.Contig51	0	0	0	0	0	0	0	0	0
CL10.Contig52	0	0	0	0	0	0	0	0	0
CL10.Contig53	0	0	0	0	0	0	0	0	0
CL10.Contig54	0	0	0	0	0	0	0	0	0
CL10.Contig55	1	7	4	21	31	20	25	21	21
CL10.Contig56	64	47	78	31	39	72	31	35	40
CL10.Contig57	0	0	0	0	0	0	0	0	0
CL10.Contig58	0	0	0	0	0	0	0	0	0
CL10.Contig59	0	0	0	0	0	0	0	0	0
CL10.Contig6	0	0	0	0	0	0	0	0	0
CL10.Contig60	65	67	93	0	0	2	37	0	42
CL10.Contig61	0	0	0	0	0	0	0	0	0
CL10.Contig62	0	0	0	0	0	0	0	0	0
CL10.Contig63	201	196	171	173	120	153	193	153	182
CL10.Contig64	0	0	0	0	0	0	0	0	0
CL10.Contig65	0	0	0	0	0	0	0	1	0
CL10.Contig66	0	0	0	0	0	0	0	0	0
CL10.Contig67	0	0	0	0	0	0	0	0	0
CL10.Contig7	0	0	0	0	0	0	0	0	0
CL10.Contig8	0	0	0	0	0	0	0	0	0
CL10.Contig9	0	0	0	0	0	0	0	0	0
CL100.Contig1	606	350	1069	318	805	791	492	538	361
CL100.Contig2	97	13	130	24	96	76	13	80	21
CL100.Contig3	801	752	1455	499	1196	766	741	757	740
CL1000.Contig1	0	18	52	32	14	24	71	40	18
CL1000.Contig2	1	0	10	13	10	9	6	15	0
CL1000.Contig3	38	7	14	18	22	16	20	10	4
CL1000.Contig4	141	129	183	251	251	187	270	168	136
CL1000.Contig5	111	100	120	194	212	163	194	159	103
CL1001.Contig1	329	288	338	353	328	356	355	341	302
