target_id 	 Ck_1 	 CK_2 	 CK_3 	 ET_1 	 ET_2 	 ET_3 	 MJ_1 	 MJ_2 	 MJ_3 
CRO_T100001	1	2	3	3	2	2	4	2	2
CRO_T100002	0	0	0	0	0	0	0	0	0
CRO_T100003	0	0	0	0	0	0	0	0	0
CRO_T100004	0	0	0	0	0	0	0	0	0
CRO_T100005	1	2	1	1	0	4	1	1	1
CRO_T100006	0	0	0	0	0	0	0	0	0
CRO_T100007	0	0	0	0	0	0	0	0	0
CRO_T100008	0	0	0	0	0	0	0	0	0
CRO_T100009	5	5	8	6	4	8	8	6	8
CRO_T100011	11	9	10	10	7	19	12	8	11
CRO_T100012	0	0	0	0	0	0	0	0	0
CRO_T100013	4	3	3	2	2	3	2	2	1
CRO_T100014	0	0	0	0	0	0	0	0	0
CRO_T100015	19	17	19	19	17	20	21	18	20
CRO_T100016	0	0	0	0	0	0	0	0	0
CRO_T100017	0	0	0	0	0	0	0	0	0
CRO_T100018	25	25	32	31	25	28	25	28	26
CRO_T100019	0	0	0	0	0	0	0	0	0
CRO_T100020	0	0	0	0	0	0	0	0	0
CRO_T100021	0	0	0	0	0	0	0	0	0
CRO_T100022	0	0	0	0	0	0	0	0	0
CRO_T100023	31	29	34	31	35	31	28	27	27
CRO_T100024	0	0	0	0	0	0	0	0	0
CRO_T100025	42	44	45	39	46	42	35	44	36
CRO_T100028	0	0	0	0	0	0	0	0	0
CRO_T100029	0	0	0	0	0	0	0	0	0
CRO_T100032	0	0	0	0	0	0	0	0	0
CRO_T100033	0	0	0	0	0	0	0	0	0
CRO_T100034	0	0	0	0	0	0	0	0	0
CRO_T100035	0	0	0	0	0	0	0	0	0
CRO_T100036	0	0	0	0	0	0	0	0	0
CRO_T100037	0	0	0	0	0	0	0	0	0
CRO_T100038	0	0	0	0	0	0	0	0	0
CRO_T100040	0	0	0	0	0	0	0	0	0
CRO_T100041	0	0	0	0	0	0	0	0	0
CRO_T100042	0	0	0	0	0	0	0	0	0
CRO_T100043	0	0	0	0	0	0	0	0	0
CRO_T100044	0	0	0	0	0	0	0	0	0
CRO_T100045	0	0	0	0	0	0	0	0	0
CRO_T100048	41	37	52	48	45	41	58	63	58
CRO_T100049	0	0	0	0	0	0	0	0	0
CRO_T100050	0	0	0	0	0	0	0	0	0
CRO_T100051	0	0	0	0	0	0	0	0	0
CRO_T100052	0	0	0	0	0	0	0	0	0
CRO_T100053	0	0	0	0	0	0	0	0	0
CRO_T100055	0	0	0	0	0	0	0	0	0
CRO_T100058	24	20	25	23	24	24	24	26	23
CRO_T100059	0	0	0	0	0	0	0	0	0
CRO_T100060	0	0	0	0	0	0	0	0	0
CRO_T100061	0	0	0	0	0	0	0	0	0
CRO_T100062	0	0	0	0	0	0	0	0	0
CRO_T100063	0	0	0	0	0	0	0	0	0
CRO_T100064	0	0	0	0	0	0	0	0	0
CRO_T100065	14	12	10	11	8	12	16	14	13
CRO_T100066	55	56	55	55	57	55	57	55	55
CRO_T100067	7	5	10	12	9	6	7	10	8
CRO_T100069	0	0	0	0	0	0	0	0	0
CRO_T100070	0	0	0	0	0	0	0	0	0
CRO_T100072	10	11	9	10	10	13	8	9	8
CRO_T100074	27	24	33	32	30	29	26	29	26
CRO_T100075	0	0	0	0	0	0	0	0	0
CRO_T100080	0	0	0	0	0	0	0	0	0
CRO_T100081	0	0	0	0	0	0	0	0	0
CRO_T100082	47	50	43	42	38	46	53	52	51
CRO_T100083	0	0	0	0	0	0	0	0	0
